,row_id,file_name,file_name_with_detections,x_image,y_image,heading,possible_trees,additional_matches,tree_index,tree_file_name,x_box,y_box,width_box,height_box,x_bottom,y_bottom,meters_to_tree,distance_to_tree,angle_to_tree,real_angle,x_distance,y_distance,x_tree_image,y_tree_image,tree_id,tree_name,name_eng,name_heb,type_1,type_2,type_3,x_tree,y_tree,best_angle_diff
10,11,"tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/11_segmented_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",34.76592469,32.04222748,240,1,"[{'id': 31422, 'location_x': 34.76566222436138, 'location_y': 32.0419900023088, 'tree_name': '???? ????', 'Name_Heb': 42, 'Name_Eng': 218, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '??? ????', 'Tree_Type_Hirar_3': '?????'}]",11,"10_tel aviv_heading=240.0&fov=64.0&location=32.042227477234,34.76592469393527&source=outdoor.jpg",0.14880535,0.342826724,0.280557573,0.493866801,-0.35119465,0.410239875,30.33430818,0.000303343,-40.56588845,3.952787432,-0.000219957,-0.000208892,34.76570474,32.04201859,31422,???? ????,218,42,??,??? ????,?????,34.76566222,32.04199,0.126726002
11,12,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",1,"0_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.523854375,0.312143207,0.923532784,0.6230703,0.023854375,0.376321644,22.87753523,0.000228775,3.627027184,4.209891394,-0.000200495,-0.000110182,34.77044375,32.06301688,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.047314593
12,13,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",2,"1_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.765467405,0.377368718,0.232365355,0.25903827,0.265467405,0.493112147,60.43639753,0.000604364,28.29584463,4.353408756,-0.000565839,-0.000212325,34.7700784,32.06291474,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.141045195
13,14,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",3,"2_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.438442409,0.357810676,0.324019164,0.301126599,-0.061557591,0.491626024,59.69392827,0.000596939,-7.13698886,4.147268887,-0.00050413,-0.000319671,34.77014011,32.06280739,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.126665502
14,15,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",4,"3_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.08216013,0.28634122,0.163508534,0.325942963,-0.41783987,0.550687298,97.56201014,0.00097562,-37.18979715,3.972428735,-0.000720491,-0.00065782,34.76992375,32.06246925,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.469973597
15,16,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",5,"4_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.081890456,0.197828367,0.162704155,0.14700596,-0.418109544,0.728668652,428.7592036,0.004287592,-29.84717258,4.015146393,-0.003286935,-0.00275309,34.76735731,32.06037398,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.631419048
16,17,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",6,"5_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.445133001,0.310228914,0.3158544,0.211795792,-0.054866999,0.58387319,128.5760638,0.001285761,-5.368362421,4.157558338,-0.001092883,-0.000677338,34.76955136,32.06244973,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.204602268
17,18,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",7,"6_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.443030536,0.336215019,0.31619525,0.156444803,-0.056969464,0.585562579,130.3955614,0.001303956,-5.556825827,4.156461903,-0.001107595,-0.000688138,34.76953665,32.06243893,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.207852591
18,19,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",8,"7_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.081932306,0.250088513,0.163211986,0.252912134,-0.418067694,0.62345542,178.7085739,0.001787086,-33.84444157,3.991891225,-0.001342955,-0.001179046,34.76930129,32.06194802,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.535978211
19,20,"tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/9_segmented_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",34.77064424,32.06312707,240,2,"[{'id': 35549, 'location_x': 34.77031072622632, 'location_y': 32.0628234250302, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}, {'id': 35966, 'location_x': 34.77033033188107, 'location_y': 32.06304455677183, 'tree_name': '????? ???', 'Name_Heb': 214, 'Name_Eng': 114, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '????? ??????', 'Tree_Type_Hirar_3': '??????'}]",9,"8_tel aviv_heading=240.0&fov=64.0&location=32.06312706535975,34.77064424176059&source=outdoor.jpg",0.573403001,0.357718825,0.595842242,0.305158943,0.073403001,0.489701703,58.74607008,0.000587461,8.524786185,4.2383854,-0.000522692,-0.000268148,34.77012155,32.06285892,35549,????? ???,114,214,??,????? ??????,??????,34.77031073,32.06282343,0.014226943
20,21,"tel aviv_heading=240.0&fov=64.0&location=32.08780622472325,34.77097795266794&source=outdoor.jpg","/home/dsi/michaela.lr/projects/trees/images_gd/images_sample_after_model/12_segmented_tel aviv_heading=240.0&fov=64.0&location=32.08780622472325,34.77097795266794&source=outdoor.jpg",34.77097795,32.08780622,240,11,"[{'id': 12926, 'location_x': 34.77055227454055, 'location_y': 32.08762365900716, 'tree_name': '??? ??????', 'Name_Heb': 55, 'Name_Eng': 244, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12939, 'location_x': 34.77060327582738, 'location_y': 32.08753665802558, 'tree_name': '??? ??????', 'Name_Heb': 55, 'Name_Eng': 244, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12925, 'location_x': 34.77060927488427, 'location_y': 32.08767265882945, 'tree_name': '?????? ????-???', 'Name_Heb': 210, 'Name_Eng': 233, 'Tree_Type_Hirar_1': '?? ???', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12940, 'location_x': 34.77062627549746, 'location_y': 32.0874866606154, 'tree_name': '??? ??????', 'Name_Heb': 55, 'Name_Eng': 244, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12942, 'location_x': 34.77062627593244, 'location_y': 32.08745966115299, 'tree_name': '?????? ?????', 'Name_Heb': 20, 'Name_Eng': 180, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '??????'}, {'id': 12941, 'location_x': 34.77064227548936, 'location_y': 32.08753265235938, 'tree_name': '??? ??????', 'Name_Heb': 55, 'Name_Eng': 244, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12918, 'location_x': 34.77065827242786, 'location_y': 32.08776765836816, 'tree_name': '??????????? ?????', 'Name_Heb': 116, 'Name_Eng': 259, 'Tree_Type_Hirar_1': '???', 'Tree_Type_Hirar_2': '????', 'Tree_Type_Hirar_3': '????'}, {'id': 12922, 'location_x': 34.77075627170635, 'location_y': 32.08769665357731, 'tree_name': '?????? ?????', 'Name_Heb': 20, 'Name_Eng': 180, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '??????'}, {'id': 12921, 'location_x': 34.77075627432509, 'location_y': 32.08775665840494, 'tree_name': '?????? ????-???', 'Name_Heb': 210, 'Name_Eng': 233, 'Tree_Type_Hirar_1': '?? ???', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12923, 'location_x': 34.77079126955155, 'location_y': 32.08770565595326, 'tree_name': '??? ??????', 'Name_Heb': 55, 'Name_Eng': 244, 'Tree_Type_Hirar_1': '??', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}, {'id': 12924, 'location_x': 34.77083827308143, 'location_y': 32.08774965261865, 'tree_name': '?????? ????-???', 'Name_Heb': 210, 'Name_Eng': 233, 'Tree_Type_Hirar_1': '?? ???', 'Tree_Type_Hirar_2': '?????', 'Tree_Type_Hirar_3': '?????'}]",1,"0_tel aviv_heading=240.0&fov=64.0&location=32.08780622472325,34.77097795266794&source=outdoor.jpg",0.586713016,0.271064013,0.825350404,0.541698277,0.086713016,0.458086848,45.16214735,0.000451621,10.71891146,4.251150304,-0.000404428,-0.000200998,34.77057352,32.08760523,12940,??? ??????,244,55,??,?????,?????,34.77062628,32.08748666,0.101730649
